kapampangan,english
eke akit ing tata ku.,i can't see my dad.
ala kung pusa.,i don't have a cat.
eku aintindian.,i don't understand.
kilala ke ing tatang mu.,i know your father.
ikit ke pamu ngeni.,i saw him just now.
aku man buri kula reng candy.,"i, too, like candy."
ini ing asawa nang tom?,is this tom's wife?
masyadu yang mal!,it's too expensive.
ating mamangan.,somebody is eating.
ita ing mensahi.,that's the message.
sapak ya ing boti.,the bottle is full.
mitmu ya ing boti.,the bottle is full.
ela makmak.,they aren't stupid.
pareu lang ginulisak.,they both screamed.
miabe-abe la.,they came together.
ela mekibat.,they didn't answer.
ala lang apayntun.,they found nothing.
ala lang ikit.,they found nothing.
bengi lang magobra.,they work at night.
ini ing asu nang mary.,this is mary's dog.
ini ing asu nang maria.,this is mary's dog.
ini ing asu nang bayang.,this is mary's dog.
matalik yang minum i tom.,tom drank too much.
berdi ya mata i tom.,tom has green eyes.
metung yang maginu i tom.,tom is a gentleman.
kakayap ya i tom.,tom is in recovery.
pakalon mula.,watch them closely.
pakabanten mula.,watch them closely.
makiramdam keng musika.,we listen to music.
pinilit miyang munta i tom.,we urged tom to go.
inamuyut miyang munta i tom.,we urged tom to go.
mamatras kami.,we were retreating.
magaral nakami.,we're studying now.
nananu ka?,what are you doing?
taga nukarin ka?,where are you from?
nu ka tau?,where are you from?
nukarin ke binili?,where did i put it?
taganang matapang ka.,you are very brave.
anak ka pa.,you're still young.
pakibatan me ing kutang.,answer the question.
makasadya nakang mako?,are you ready to go?
byasa kang magmaneung kotse?,can you drive a car?
malyari tang mikit pasibayo?,could we meet again?
mangaylangan tamung plan b?,do we need a plan b?
miminum kang kape?,do you drink coffee?
emu daramdaman ita?,don't you hear that?
lagwa mung miblas.,get dressed quickly.
isake muku pauli.,give me a ride home.
alas syeti yang migigising.,he gets up at seven.
e mekibat.,he made no response.
oyni ing metung a akalingwan ku.,here's one i forgot.
sasaryan ku ita.,i did it on purpose.
kaylangan ku nang matudtud.,i have to go to bed.
balu kung makwalta ka.,i know you are rich.
gewa ke yan para keka.,i made that for you.
gad kung mibalik.,i will be back soon.
ekuna daptan pasibayu ita.,i won't do it again.
ibye ke kang tom.,i'll give it to tom.
ibye ke keka.,i'll give it to you.
kutang ku kang tom.,i'll go and ask tom.
gawan keng simpli.,i'll make it simple.
pasayan daka.,i'll make you happy.
e makapagmulala ita?,isn't it remarkable?
kang tom ya ing disisyun.,it's tom's decision.
pantasya ya mu.,it's just a fantasy.
mepata ya ing bitis ku.,my foot fell asleep.
lon me yan.,take a look at that.
ala yang laman ing boti.,the bottle is empty.
manyaman ini.,this is kind of fun.
atin yang bigoti i tom.,tom has a moustache.
siguru sasambut ya i tom.,tom must be winning.
matamad ya i tom kanita.,tom used to be lazy.
sadya yang matamad i tom.,tom used to be lazy.
e ya marok a anak i tom.,tom's not a bad kid.
katamad a mestro!,what a lazy teacher!
nanung inum mu?,what have you taken?
nanu yang dalan ini?,what street is this?
nukarin ka munta?,where are you going?
nukarin ya makatuknang i tom?,where does tom live?
nukarin ka minta?,where have you gone?
nukarin ya ing kasilyas.,where is the toilet?
eraka sikasuan.,you will be ignored.
atyu ka murin king kekayo?,"are you at home, too?"
kaylangan dakang bayaranan?,do i have to pay you?
byasa kang inglis?,do you speak english?
manigaral kang inglis?,do you study english?
mitakutan la ngan.,everybody got scared.
mitakutan la reng sabla.,everybody got scared.
eke alarin ing luklukan.,i can't fix the seat.
king palage ku i tom ing ginawa kaniti.,i think tom did this.
linwal ku bang maglakad-lakad.,i was out for a walk.
alben daka.,i'll be watching you.
ini ing bisikleta mo?,is this your bicycle?
ala yang sakit.,it's a piece of cake.
sayang mu ing panaun.,it's a waste of time.
neng kwarenta magumpisa ing bye.,life begins at forty.
"nung makanyan, nanung kabaldugan na?",so what does it mean?
e makatutwanan ita.,that was unrealistic.
mipaglibe lang rigalu.,they exchanged gifts.
meyari lang mamangan.,they finished eating.
tinuknang lang sasabi.,they stopped talking.
e maybug makasabi i tom.,tom can barely speak.
sinambut ya i tom king ligligan a ita.,tom won that contest.
mipanuma kami.,we kissed each other.
nukarin ya ing tata mu?,where is your father?
nukarin ya ing iskwela mu?,where is your school?
maragul ing minaliwa keka.,you've changed a lot.
atin kung aisip a bayung ideya.,a new idea came to me.
atin kung aisip a bayung ukul.,a new idea came to me.
libri ka bukas?,are you free tomorrow?
atin kang iket?,did you see something?
maniwala ka king dios?,do you believe in god?
buri mu ing magbyahe?,do you like to travel?
ating makakilala kaya?,does anybody know him?
emuke kakalingwan!,don't forget about us!
eya doktor.,he is not a physician.
e bisang makiramdam kaku.,he won't listen to me.
kaylangan kung matudtud.,i have to go to sleep.
sana tahimik ya.,i hope it'll be quiet.
atin kung alakton.,i've missed something.
istu ya ing rilo mo?,is your watch correct?
ustu ya ing rilo mo?,is your watch correct?
malyaring muran potang bengi.,it could rain tonight.
misan mu milyari.,it only happened once.
"aliwa ika, e wari?","it wasn't you, was it?"
"nung makananu ya ing tata, makanyan ya naman ing anak.","like father, like son."
dakal lang taung manyali keni.,many people shop here.
kegisanan yang gasolina ing kotsi ku.,my car ran out of gas.
alang maki buri king marok a balita.,nobody likes bad news.
alang makaintindi kaku.,nobody understands me.
alang impusibli.,nothing is impossible.
pakisara me ing pasbul.,please close the door.
pakiplantsa me ing kamiseta.,please iron the shirt.
payari ne ing kaleldo.,summer is almost over.
"tutu ita, e wari?","that's true, isn't it?"
sindu da ing pamamangan.,they continued eating.
era aintindyan.,they don't understand.
mipaglibe lang timan.,they exchanged smiles.
pepapuntan daku karin.,they made me go there.
maragul a kamalian ini.,this is a big mistake.
miminum yang danum i tom.,tom is drinking water.
eta makapunta ngeni.,we can't go right now.
kuma tang aliwa.,we'll get another one.
nanu pang kaylangan mu?,what else do you need?
nanung laman dareng kahun a reni?,what's in these boxes?
nanung atyu karening kahun?,what's in these boxes?
nanu ka pilidu?,what's your last name?
nanu kayu pu pilidu?,what's your last name?
nu raka malyaring pakikitan?,where can we meet you?
nu rakayu malyaring pakikitan?,where can we meet you?
nukarin ya ing banyu?,where is the bathroom?
mas masikan ka ngeni.,you're stronger today.
ating tinuki keka?,did anybody follow you?
ating mewala keka?,did you lose something?
kaylangan ku nang gawan ngene?,do i have to do it now?
gawan mu ing anggang kaylangan.,do whatever's required.
balu me ing pakibat?,do you know the answer?
king palage mu mamulang ko?,do you think i'm crazy?
king palage mu balu nang tom?,do you think tom knows?
byasa ya king handball.,he is good at handball.
ene magdilidili.,he isn't alone anymore.
agyu na kanu ngana.,he said he could do it.
anak ya pa ampong masanting ya katawan ya.,he's young and healthy.
anak ya pa ampong masanting ya mabulas ya.,he's young and healthy.
ala kung obra bukas.,i am off duty tomorrow.
eku malyaring paintulutan ita.,i can't authorize that.
ala kung pera.,i don't have any money.
eke murin buri.,i don't like it either.
eku byasang apon.,i don't speak japanese.
buri raka mung kawlan.,i just want to hug you.
balu kung imposibli ita.,i know it's impossible.
balu kung e malyari ita.,i know it's impossible.
aldo-aldo kung maglutung paugtwan.,i make lunch every day.
sabi ku paburen me i tom.,i said leave tom alone.
pekisabyan ke ing pamilya ku.,i spoke with my family.
atyu ku king kabundukan.,i was in the mountains.
atyu ku king kabundukan kanita.,i was in the mountains.
buri ku sa atyu ku boston.,i wish i was in boston.
bayu yang letrato?,is it a recent picture?
eku magtaka.,it doesn't surprise me.
tando ka king awang.,look out of the window.
"ay, eka makanyan.","oh, don't be like that."
metung yang sikat a magkanta.,she is a famous singer.
mas anak ya kesa kaku.,she is younger than me.
panayan daka?,should we wait for you?
salamat king saup.,thanks for the support.
salamat king suporta.,thanks for the support.
atin yang diperensya ing rilo.,the clock is defective.
meyaregla na ing pisasabian.,the matter was settled.
silab da ing sarili da.,they burned themselves.
sindu da ing pamaglakad.,they continued walking.
sindu da ing pamagobra.,they continued working.
panayan de.,they're waiting for it.
ini ing malyari.,this is what'll happen.
maklak ya king metung a balugbug i tom.,tom is deaf in one ear.
atyu pa king iskwela i tom.,tom is still at school.
manalbe yang tv i tom ngeni.,tom is watching tv now.
lalbe yang tv i tom ngeni.,tom is watching tv now.
atlu lang pamagbayu deng gewa nang tom.,tom made three changes.
balamu e kuntentu i tom.,tom seems discontented.
ena gawan tom ita.,tom will never do that.
ating keng gagawan.,we are doing something.
e mi pa balu.,we don't know just yet.
nanu ing pamaglabag?,what was the violation?
nanu ya lagyu ing anak mung lalaki?,what's your son's name?
ot eme buri i tom?,why don't you like tom?
eka malyaring sumambut.,you can't possibly win.
emu paniwalan ini!,you won't believe this!
eyu paniwalan ini!,you won't believe this!
masikan kang tau.,you're a strong person.
buri raka ngan deng kaluguran ku.,all my friends like you.
eme kakalingwan ing tiket.,don't forget the ticket.
kitnan naku nung nukarin munta.,he asked me where to go.
sabik yang magtagumpe.,he is eager for success.
bulag ya kabait na.,he was blind from birth.
makananu nang apalyaring tom ita?,how did tom manage that?
pepayaus daka kang tom.,i asked tom to call you.
menyad kung katas ning ubas.,i asked for grape juice.
ekuna agyung gawan ini.,i can't do this anymore.
balu kung ala yang kasalanan i tom.,i know tom isn't guilty.
buri ku basan neng tom ini.,i want tom to read this.
buri rakang akit a titiman.,i want to see you smile.
buri keng pakisabian i tom.,i want to talk with tom.
buri kung tukyan muku.,i want you to follow me.
yaku ing bayu nang sekretaryang tom.,i'm tom's new secretary.
eku balu nung nanung sabian ku.,i'm at a loss for words.
kaylangan keng gawan ini ngeni.,i've got to do this now.
eku pa mekasulagpo.,i've never flown before.
malino ing kakung pamag-isplika?,is my explanation clear?
malino ing kakung kapatagan?,is my explanation clear?
ena makanyan.,it's no longer that way.
panaun na para king katutuan.,it's time for the truth.
adwa ya awang ing kwartu ku.,my room has two windows.
pane yang malinis ing kwartu ku.,my room is always clean.
"sigi, mangisnawa kang malamam.","now, take a deep breath."
balamu e ustu ita.,that doesn't seem right.
ita ing dakeng makatakut.,that was the scary part.
mesaya ya king balita.,the news made him happy.
pakakalale lang linub.,they entered cautiously.
mababa la paglalawe kaya kanita.,they looked down on him.
ala yang pete i tom.,tom didn't kill anybody.
ala yang tuknangan i tom.,tom doesn't have a home.
mekamura ya i tom.,tom got a bargain price.
nanu yang klasing tau?,what kind of man was he?
ninung panayan mu?,who are you waiting for?
milako la obra deng magobra.,workers lost their jobs.
ala kang sinabi.,you never said anything.
"kikyak ya i tom. ""balu ku.""","tom's crying. ""i know."""
manyad nakung metung a basung danom?,"a glass of water, please."
eka makapuntang dili mo?,can't you go by yourself?
sinabi kung yari nako?,did i say i was finished?
maniwala ka kareng maglage?,do you believe in ghosts?
ditak la mung taung maki adwang kotsi.,few people have two cars.
ala yang kapatad a babai.,he doesn't have a sister.
ala yang kutnanan.,he has nobody to consult.
masaya ya king panga-hudyu na.,he was happy being a jew.
eku kumabye nung ala ka.,i can't live without you.
eku balu nung nanung balu ku.,i don't know what i know.
atin kung kaylangang ausan.,i had some calls to make.
awsan daka king teleponu kaybat.,i'll call you back later.
sabian ku ngan keka.,i'll tell you everything.
makasadya nakung magbakasyun.,i'm ready for a vacation.
"king makuyad a salita, makuyad ing bye.","in a word, life is short."
masala pa king kilwal.,it's still light outside.
lumawe ta king malating silid.,let's look in the closet.
mipakibatan la reng pangadi ku.,my prayers were answered.
alang manakit kekatamu.,no one's going to see us.
maus kung doktor?,should i call the doctor?
ela makiramdam deng aliwang tau.,some people never listen.
mag-taxi ka papunta king hotel.,take a taxi to the hotel.
yan ing inorder ku.,that's what i've ordered.
mangulisak la reng bingut.,the babies are screaming.
atyu king babo lamesa ing libru.,the book is on the table.
mabusni ya ing awang.,the window was wide open.
sindu da ing pamanintun.,they continued searching.
ing alcohol ing magpagana king kotsing ini.,this car runs on alcohol.
taganang magalang ya i tom.,tom certainly was polite.
ene akilalang tom.,tom didn't recognize her.
enaku makaing buring tom.,tom doesn't like me much.
atin yang kumpanyang panibalan i tom.,tom had a company to run.
alayu king upisina i tom.,tom is out of the office.
pitda neng tom ing musika.,tom turned off the music.
eke misabi napun.,we didn't talk yesterday.
e kami misabi napun.,we didn't talk yesterday.
nanung payntunan mu?,what are you looking for?
ninung mematda king sulu?,who turned off the light?
ninung mematda king sulu?,who turned the light off?
ot e tamu mag-order pizza?,why don't we order pizza?
"makapagmaneu ka, e wari?","you can drive, can't you?"
eka tumerak?,aren't you going to dance?
agyu taya pin yan?,can we really afford that?
ikwa me ing mensahi nang tom?,did you get tom's message?
ikwa ye ing mensahi nang tom?,did you get tom's message?
"lakwan mukung dili ku, ngana.","he said, ""leave me alone."""
tatakut ku king madalumdum.,i have a fear of the dark.
ala kung baleng tuknangan.,i have no home to live in.
balu ku nang ikit ku ne.,i knew i'd seen it before.
likwan ko reng sapatus king iskwela.,i left my shoes at school.
eku miminum o sisindi.,i neither drink nor smoke.
lalakad kung adwang pulung milya aldo'ldo.,i walk twenty miles a day.
siguradu kung dakal ka gagawan.,i'm sure you're very busy.
siguradu kung taganang okupadu ka.,i'm sure you're very busy.
minuran masikan nabengi.,it rained hard last night.
siguru malyari kung makiyagnan keka.,maybe i could go with you.
"atin yang kagiwan a ""psychic"".",she has psychic abilities.
ita ing sasabyan ning balang metung.,that's what everyone says.
ningnang ne ning kusineru ing karni.,the cook broiled the meat.
aldo ning katimawan ngeni.,today is independence day.
tinggap neng tom ing aluk nang mary.,tom accepted mary's offer.
makapagmulala ing obrang gewa nang tom.,tom did an incredible job.
tinakas ya i tom king kayang selda.,tom escaped from his cell.
maki paintulut i tom a gawan ita.,tom is allowed to do that.
balu nang tom ing kabaldugan na niti.,tom knows what this means.
mibalik ya i tom king luklukan na.,tom went back to his seat.
pepapintura miya kang tom ing dingding.,we had tom paint the wall.
pepapintura miya kang tom ing pader.,we had tom paint the wall.
e miya pa sibukan yan.,we haven't tried that yet.
payntunan miya i tom ngeni.,we're looking for tom now.
nanung buri mu kaya?,what do you like about it?
nanung buri mung pagawa kaku?,what do you want me to do?
nanung panyabyan mu?,who are you talking about?
nanung panyabyan yu?,who are you talking about?
aldo kung kebaytan napun.,yesterday was my birthday.
malyari meng gisyan ing kahun ba yang ibusni.,you can tear the box open.
eka gawang anti kanyan.,you will do no such thing.
agyu mung ulan ing payntungulan?,can you predict the future?
makapanaya kang manga metung a oras?,can you wait about an hour?
byasa ko ngang magsalitang pranses?,do all of you speak french?
atin tamung kaylangang bayaran?,do we have to pay anything?
buri mukung awsang tom?,do you want me to call tom?
eme tatabili ing obra mu neng aldo.,don't give up your day job.
alang lugud king alang angga.,eternal love doesn't exist.
agnan-agnan la kareng gagawan da deng mikaluguran.,friends do things together.
ikit mune ine?,have you seen this already?
"lagwa mu, mitawli tamu.","hurry up, or we'll be late."
minta ku keni bang mamyalung soccer.,i came here to play soccer.
kaylangan ku neng gisingan i tom pinandit.,i have to wake tom up soon.
balu kung maulagang obra ita.,i know it's important work.
kaylangan ke ing metung a tasa ning mapaling kape.,i need a cup of hot coffee.
king palage ku ustu na ing pengan tamu.,i think we've eaten enough.
balaku siryosu ka.,i thought you were serious.
kabukas kung makagising a mamasa.,i was up all night reading.
taganang pakisabyan ke i tom.,i'll certainly talk to tom.
eku siguradu nung ikit neng tom.,i'm not sure if tom saw it.
aliwa ita ing amanwan ku.,i'm not talking about that.
taganang makarine.,it was really embarrassing.
siguru dakitan daka.,maybe they'll come for you.
siguru dapat kang kumang metung.,perhaps you should get one.
migpasya yang magdoktor.,she decided to be a doctor.
migdisisyun yang magdoktor.,she decided to be a doctor.
metung yang bantug a magkanta.,she is a well-known singer.
metung yang kabalitan a magkanta.,she is a well-known singer.
metung yang bunying magkanta.,she is a well-known singer.
abayan me saguli i tom.,stay with tom for a moment.
abayan me i tom kening kwartu.,stay with tom in this room.
"kabira-bira, migumpisang minuran.","suddenly, it began to rain."
sabyan mu kang tom papunta ne i mary.,tell tom mary's on the way.
salamat king kekang pamalak.,thank you for your opinion.
salamat king suporta.,thank you for your support.
"salamat king usuk, tom.","thanks for the advice, tom."
"salamat king payu, tom.","thanks for the advice, tom."
salamat king inspirasyun.,thanks for the inspiration.
salamat king pamikatagun.,thanks for the opportunity.
atyu king kayli ing banyu.,the bathroom's on the left.
alus ala yang laman ing tren.,the train was almost empty.
ala pa ing pekamarok.,the worst is still to come.
ini ing ambisyun ku king bye.,this is my life's ambition.
ena mayari ini.,this is never going to end.
"bag me ini, ale?","this is your bag, isn't it?"
"eku kasalanan ini, ale?","this isn't my fault, is it?"
"eku kasalanan ini, e wari?","this isn't my fault, is it?"
"emu kasalanan ini, tom.","this isn't your fault, tom."
taganang makatakut ya ing pelikula.,this movie is really scary.
melakwan ya ini king barkun.,this was left on the porch.
metung mung minutu ini.,this'll only take a minute.
pareu kaming nerbyosung tom.,tom and i are both nervous.
pareu kaming manerbyus tom.,tom and i are both nervous.
mikasundu keng tom.,tom and i had an agreement.
pareu keng munta karing tom.,tom and i'll both be there.
ena balung tom ing katutwan.,tom doesn't know the truth.
mekapag-disisyun ne i tom.,tom has come to a decision.
dapat 2:30 mekauli ne i tom.,tom should be home by 2:30.
megisan na ing pasensya nang tom.,tom's patience has run out.
dakal tamu sukat pagmasusian.,we have a lot to celebrate.
kaylangan tamu ngeni ing sikanan nang tom.,we need tom's strength now.
i neng kai magkamali kami.,we sometimes make mistakes.
neng kai magkamali tamu.,we sometimes make mistakes.
nanung buri mung kanan?,what would you like to eat?
ninung e maki buri king bebe dayatmalat?,who doesn't like the beach?
ot eko pareung sumuku?,why don't you both give up?
pane kang magreklamu.,you are always complaining.
"ustu ka siguru, tom.","you're probably right, tom."
sinabi mu na yan kaku.,you've told me that before.
dakal ka balu tungkul kanita?,do you know much about that?
eme pabureng miyuranan.,don't expose it to the rain.
agyang kapilan sasabyan na ing tutu kaku.,he always told me the truth.
mibagsak ya king pamagsulit bang matanggap.,he failed the entrance exam.
"mibagsak ya king ""entrance examination"".",he failed the entrance exam.
minta ku king boston anyang milabasan a bulan.,i came to boston last month.
eku maybug paniwalan.,i could scarcely believe it.
ala kung dadalang kwalta.,i don't have any cash on me.
mas buri ku ing gatas kesa king katas ning prutas.,i like milk more than juice.
tinulak ke i tom king danum.,i pushed tom into the water.
mako ku keng tutuking duminggu.,i'm leaving early next week.
mas malagu ku kesa keka.,i'm more beautiful than you.
dimdam kune ining kanta kanita.,i've heard this song before.
e maragul a bage ita.,it isn't that big of a deal.
balamu ustu ya i tom.,it looks like tom was right.
e maragul a bage ita.,it's not that big of a deal.
buren mung yatad daka king kotsi mu.,let me walk you to your car.
pagmaragul daku deng pengari ku.,my parents were proud of me.
panupaya mung mitawli ku.,please excuse my being late.
panupaya yung mitawli ku.,please excuse my being late.
panupaya yu pung mitawli ku.,please excuse my being late.
malagu yang babai yan.,that's a good-looking woman.
iro ya ampong gintu ing karelang bandera.,their flag is blue and gold.
asul ya ampong gintu ing karelang bandera.,their flag is blue and gold.
kawangis neng tom i john.,tom kind of looks like john.
leko nong tom deng headphone na.,tom took his headphones off.
